test_1/n_subgoals,policy/steps,train/success_rate,test/episodes,test/success_rate,test_1/avg_q,epoch,test_0/avg_q,train/episodes,test_1/subgoal_succ_rate
675.0,18225.0,nan,25.0,0.0,-0.0668460455395693,0,-0.06686397991527206,0.0,0.0
675.0,36450.0,nan,50.0,0.0,-0.06685431961743021,1,-0.06687449847425171,0.0,0.0
675.0,54675.0,nan,75.0,0.0,-0.06683211725943573,2,-0.06686362681256267,0.0,0.0
675.0,72900.0,nan,100.0,0.0,-0.06683892139230253,3,-0.06688565330028991,0.0,0.0
675.0,91125.0,nan,125.0,0.0,-0.06682738423345362,4,-0.06688665710916054,0.0,0.0
675.0,109350.0,nan,150.0,0.0,-0.0668378114818433,5,-0.06687687917081636,0.0,0.0
675.0,127575.0,nan,175.0,0.0,-0.06684222606317292,6,-0.06689773196515289,0.0,0.0
675.0,145800.0,nan,200.0,0.0,-0.06683867463771871,7,-0.06690033445062374,0.0,0.0
675.0,164025.0,nan,225.0,0.0,-0.06682915418758628,8,-0.06691114007764161,0.0,0.0
